"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"11";"2024-01-30 12:31:00";"Fighter Pullup Challenge #3";"3600";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"11";"2024-01-30 12:31:00";"Fighter Pullup Challenge #3";"3600";"Pull Up";"4";"0.0";"5";"";"";"";"";""
"11";"2024-01-30 12:31:00";"Fighter Pullup Challenge #3";"3600";"Pull Up";"5";"0.0";"5";"";"";"";"";""
"12";"2024-02-01 12:39:00";"Gripper #1";"3600";"Hand Gripper";"1";"45.0";"7";"";"";"";"";""
"12";"2024-02-01 12:39:00";"Gripper #1";"3600";"Hand Gripper";"2";"45.0";"10";"";"";"";"";""
"12";"2024-02-01 12:39:00";"Gripper #1";"3600";"Hand Gripper";"3";"45.0";"10";"";"";"";"";""
"12";"2024-02-01 12:39:00";"Gripper #1";"3600";"Hand Gripper";"4";"45.0";"10";"";"";"";"";""
"12";"2024-02-01 12:39:00";"Gripper #1";"3600";"Hand Gripper";"5";"45.0";"10";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"W";"50.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"1";"68.0";"3";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"2";"78.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"3";"78.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"4";"78.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"5";"78.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Front Squat (Barbell)";"6";"78.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Overhead Press (Barbell)";"1";"54.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Overhead Press (Barbell)";"2";"54.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Overhead Press (Barbell)";"3";"54.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Overhead Press (Barbell)";"4";"54.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Overhead Press (Barbell)";"5";"54.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"W";"68.0";"7";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"1";"108.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"2";"108.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"3";"108.0";"5";"";"";"";"";""
