Time,Date,S,H,P,T,L,U,C,X
1472857200.0,2016/09/03,0,0,0,0,0,0,0,0
1473462000.0,2016/09/10,0,0,0,0,0,0,0,0
1474066800.0,2016/09/17,0,0,0,0,0,0,0,0
1474671600.0,2016/09/24,0,0,0,0,0,0,0,0
1475276400.0,2016/10/01,0,0,0,0,0,0,0,0
1475881200.0,2016/10/08,0,0,0,0,0,0,0,0
1476486000.0,2016/10/15,0,0,0,0,0,0,0,0
1477090800.0,2016/10/22,0,0,0,0,0,0,0,0
1477695600.0,2016/10/29,0,0,0,0,0,0,0,0
1478300400.0,2016/11/05,0,0,0,0,0,0,0,0
1478905200.0,2016/11/12,0,0,0,0,0,0,0,0
1479510000.0,2016/11/19,0,0,0,0,0,0,0,0
1480114800.0,2016/11/26,0,0,0,0,0,0,0,0
1480719600.0,2016/12/03,0,0,0,0,0,0,0,0
1481324400.0,2016/12/10,0,0,0,0,0,0,0,0
1481929200.0,2016/12/17,0,0,0,0,0,0,0,0
1482534000.0,2016/12/24,0,0,0,0,0,0,0,0
1483138800.0,2016/12/31,0,0,0,0,0,0,0,0
1483743600.0,2017/01/07,0,0,0,0,0,0,0,0
1484348400.0,2017/01/14,0,0,0,0,0,0,0,0
1484953200.0,2017/01/21,0,0,0,0,0,0,0,0
1485558000.0,2017/01/28,0,0,0,0,0,0,0,0
1486162800.0,2017/02/04,0,0,0,0,0,0,0,0
1486767600.0,2017/02/11,0,0,0,0,0,0,0,0
1487372400.0,2017/02/18,0,0,0,0,0,0,0,0
1487977200.0,2017/02/25,0,0,0,0,0,0,0,0
1488582000.0,2017/03/04,0,0,0,0,0,0,0,0
1489186800.0,2017/03/11,0,0,0,0,0,0,0,0
1489791600.0,2017/03/18,0,0,0,0,0,0,0,0
1490396400.0,2017/03/25,0,0,0,0,0,0,0,0
1491001200.0,2017/04/01,0,0,0,0,0,0,0,0
1491606000.0,2017/04/08,0,0,0,0,0,0,0,0
1492210800.0,2017/04/15,0,0,0,0,0,0,0,0
1492815600.0,2017/04/22,0,0,0,0,0,0,0,0
1493420400.0,2017/04/29,0,0,0,0,0,0,0,0
1494025200.0,2017/05/06,0,0,0,0,0,0,0,0
1494630000.0,2017/05/13,0,0,0,0,0,0,0,0
1495234800.0,2017/05/20,0,0,0,0,0,0,0,0
1495839600.0,2017/05/27,0,0,0,0,0,0,0,0
1496444400.0,2017/06/03,0,0,0,0,0,0,0,0
1497049200.0,2017/06/10,0,0,0,0,0,0,0,0
1497654000.0,2017/06/17,0,0,0,0,0,0,0,0
1498258800.0,2017/06/24,0,0,0,0,0,0,0,0
1498863600.0,2017/07/01,0,0,0,0,0,0,0,0
1499468400.0,2017/07/08,0,0,0,0,0,0,0,0
1500073200.0,2017/07/15,0,0,0,0,0,0,0,0
1500678000.0,2017/07/22,0,0,0,0,0,0,0,0
1501282800.0,2017/07/29,0,0,0,0,0,0,0,0
1501887600.0,2017/08/05,0,0,0,0,0,0,0,0
1502492400.0,2017/08/12,0,0,0,0,0,0,0,0
1503097200.0,2017/08/19,0,0,0,0,0,0,0,0
1503702000.0,2017/08/26,0,0,0,0,0,0,0,0
1504306800.0,2017/09/02,0,0,0,0,0,0,0,0
1504911600.0,2017/09/09,0,0,0,0,0,0,0,0
1505516400.0,2017/09/16,0,0,0,0,0,0,0,0
1506121200.0,2017/09/23,0,0,0,0,0,0,0,0
1506726000.0,2017/09/30,0,0,0,0,0,0,0,0
1507330800.0,2017/10/07,0,0,0,0,0,0,0,0
1507935600.0,2017/10/14,0,0,0,0,0,0,0,0
1508540400.0,2017/10/21,0,0,0,0,0,0,0,0
1509145200.0,2017/10/28,0,0,0,0,0,0,0,0
